target,step,module,model_head,candidate,n_components,cv_n,cv_rmse,cv_mae,cv_bias,cv_r2,cv_spearman_r,cv_rounded_within_1_step_pct,cv_rounded_over_1_step_pct,cv_tolerance_loss,cv_step_mse,cv_step_mae,cv_low_n,cv_low_rmse,first_n,process_weight,logistic_c,pooling
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime1_C1_poolstep_mean,8,46,1.0818663423032884,0.8521739130434781,-0.23478260869565218,0.7990392729633236,0.9065318419427478,86.95652173913044,13.043478260869565,0.1826086956521739,1.0434782608695652,0.782608695652174,27,1.0777205024873016,15.0,1.0,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p5_C1_poolstep_mean,10,46,1.0541842096266132,0.8521739130434781,-0.2260869565217391,0.8091918208373904,0.9232484977968015,86.95652173913044,13.043478260869565,0.1836956521739131,1.065217391304348,0.8043478260869565,27,1.1300606342303219,15.0,0.5,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p5_C0p3_poolstep_mean,8,46,1.089475342419061,0.9,-0.21304347826086958,0.7962025316455696,0.9119130804899525,86.95652173913044,13.043478260869565,0.18695652173913044,1.1304347826086956,0.8695652173913043,27,1.0631887745693942,15.0,0.5,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime1_C3_poolstep_mean,8,46,1.06321906614239,0.8260869565217391,-0.23478260869565218,0.8059071729957805,0.9131022208611872,84.78260869565217,15.217391304347828,0.20760869565217396,1.108695652173913,0.8043478260869565,27,1.0763449811833186,15.0,1.0,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p5_C1_poolstep_mean,8,46,1.0471493394594844,0.8565217391304347,-0.2217391304347826,0.8117299578059072,0.9136136182283833,84.78260869565217,15.217391304347828,0.2086956521739131,1.1304347826086956,0.8260869565217391,27,1.063885262540962,15.0,0.5,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p25_C0p3_poolstep_mean,8,46,1.0537716937784463,0.8652173913043479,-0.2652173913043478,0.8093411230120091,0.9261713266504003,84.78260869565217,15.217391304347828,0.21086956521739128,1.173913043478261,0.8695652173913043,27,0.9782826979135617,15.0,0.25,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p5_C3_poolstep_mean,10,46,1.0619915663302235,0.8565217391304347,-0.20434782608695656,0.8063550795196365,0.9219033983837108,84.78260869565217,15.217391304347828,0.21086956521739136,1.173913043478261,0.8695652173913043,27,1.1430952132988164,15.0,0.5,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime1_C1_poolstep_mean,10,46,1.1193942461263902,0.9173913043478261,-0.23043478260869568,0.7848555663745537,0.9042882089469321,84.78260869565217,15.217391304347828,0.2130434782608696,1.2173913043478262,0.9130434782608695,27,1.207384685084989,15.0,1.0,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p5_C0p3_poolstep_mean,10,46,1.105716372155253,0.9304347826086954,-0.2434782608695652,0.7900811424862058,0.9158063786436911,84.78260869565217,15.217391304347828,0.21521739130434786,1.2608695652173914,0.9565217391304348,27,1.1294049564064945,15.0,0.5,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p25_C3_poolstep_mean,6,46,1.0086581702181499,0.7565217391304349,-0.23478260869565215,0.8253164556962025,0.9230028824291046,89.13043478260869,10.869565217391305,0.22500000000000012,1.0217391304347827,0.717391304347826,27,0.9850737893022891,15.0,0.25,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p25_C3_poolstep_mean,10,46,1.0210821199355975,0.8043478260869567,-0.2217391304347826,0.8209866926322622,0.9257100733722057,89.13043478260869,10.869565217391305,0.22717391304347828,1.065217391304348,0.7608695652173914,27,1.0900220860827308,15.0,0.25,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime1_C3_poolstep_mean,10,46,1.089475342419061,0.8739130434782608,-0.23913043478260865,0.7962025316455696,0.9157422268635447,82.6086956521739,17.391304347826086,0.23586956521739133,1.2391304347826086,0.8913043478260869,27,1.1610978202322784,15.0,1.0,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p25_C3_poolstep_mean,8,46,0.9855477400035408,0.7869565217391307,-0.1956521739130435,0.8332294709509899,0.9289021602614099,86.95652173913044,13.043478260869565,0.25000000000000006,1.0869565217391304,0.7391304347826086,27,0.972967967955095,15.0,0.25,3.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p25_C1_poolstep_mean,6,46,1.043822407017259,0.8130434782608696,-0.29130434782608705,0.8129243752028562,0.9205913043707818,86.95652173913044,13.043478260869565,0.25108695652173924,1.108695652173913,0.7608695652173914,27,1.002219758558194,15.0,0.25,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p25_C1_poolstep_mean,10,46,1.0325148698792377,0.8173913043478259,-0.2608695652173913,0.8169555339175593,0.9273304450744732,86.95652173913044,13.043478260869565,0.2521739130434783,1.1304347826086956,0.782608695652174,27,1.0790942704159097,15.0,0.25,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime0p25_C0p3_poolstep_mean,10,46,1.0914688945756021,0.8956521739130437,-0.28695652173913044,0.7954560207724765,0.9200725419633998,86.95652173913044,13.043478260869565,0.2576086956521739,1.2391304347826086,0.8913043478260869,27,1.0804662916571748,15.0,0.25,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls10_ptime1_C0p3_poolstep_mean,10,46,1.1267498468565702,0.9304347826086957,-0.23478260869565218,0.7820188250567996,0.9011663489655564,80.43478260869566,19.565217391304348,0.2619565217391305,1.326086956521739,0.9347826086956522,27,1.1693619659486996,15.0,1.0,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p5_C1_poolstep_mean,6,46,1.0595323004289081,0.8304347826086957,-0.27391304347826084,0.8072508925673483,0.9111711758089535,84.78260869565217,15.217391304347828,0.2771739130434784,1.1956521739130435,0.8043478260869565,27,1.0484556544075956,15.0,0.5,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls6_ptime0p5_C3_poolstep_mean,6,46,1.0138175807099232,0.7304347826086957,-0.23478260869565212,0.823524829600779,0.9218259599733291,86.95652173913044,13.043478260869565,0.3184782608695653,1.1521739130434783,0.717391304347826,27,1.0327955589886444,15.0,0.5,3.0,step_mean
